ID,Start time,Completion time,Email,Name,Last modified time,Participant ID,Cube of Matter (Cube 1):,Cube of Life (Cube 2):,Thought Cube (Cube 3):,Cube of Matter 2(Cube 1):,Cube of Life 2(Cube 2):,Thought Cube 2(Cube 3):,Admiration,Confusion,Haunt,Disorientation,Amazement,Fascination,Amazing,Curiosity,Perplexity,"I felt a closer sense of identity, of who I am.",I felt a psychological connection to everyone/everything around me.,I felt a physical connection to everyone/everything around me.,Everything seemed to be connected.,I experienced a feeling of confinement.,I experienced a feeling of oppression.,I experienced a feeling of tension.,My heart was racing.,It took my breath away.,I felt chills.,I felt physically smaller.,"I felt trivial, in the grand scheme of things.",The world seemed vast.,What did you learn about during your visit?,Is this your first time visiting the Museum of Tomorrow?,"If not, how many times have you visited us previously?","Did you watch the movie Cosmos, projected onto the sphere?",How many people accompanied you on this visit?,Would you like to visit the museum again in the future?,Would you recommend the museum to your friends and family?,Age group,Gender,Which racial group do you identify with?,Do you have any disabilities?,What disability do you have?,Do you have children? ,Where do you live?,Would you like to share something more about your visit or your experience today?
112,2023-10-01 22:37:41,2023-10-01 23:17:31,anonymous,,,D04-P049,6.0,6.0,7.0,7.0,7.0,7.0,8,2,3,1,7,7,4,5,6,1,3,5,7,1,1,1,1,1,1,3,7,7,Diversidade Cultural ;Biodiversidade;,Sim,,Sim,1 pessoa,Sim,Sim,31-59 anos,Masculino,Pardo,Não,,Não,Outro Estado do Brasil,
113,2023-10-01 23:11:12,2023-10-01 23:28:15,anonymous,,,R37,8.0,8.0,8.0,8.0,8.0,8.0,8,6,8,8,8,6,8,6,5,7,7,5,7,1,1,4,4,1,1,7,7,7,Biodiversidade;Diversidade Cultural ;,Não,1,Sim,2 pessoas,Talvez,Sim,31-59 anos,Masculino,Branco,Não,,Não,Outro Estado do Brasil,
114,2023-10-01 23:28:20,2023-10-01 23:33:40,anonymous,,,R38,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2,2,Biodiversidade;,Sim,,Não,1 pessoa,Sim,Sim,31-59 anos,Masculino,Pardo,Não,,Sim,Outro Estado do Brasil,
115,2023-10-01 23:02:26,2023-10-01 23:34:24,anonymous,,,D03-P066,6.0,8.0,5.0,6.0,5.0,6.0,8,1,1,1,8,8,1,8,5,4,3,2,6,2,1,1,1,1,1,1,1,1,Biodiversidade;Diversidade Cultural ;Recursos Naturais ;Sustentabilidade;,Sim,,Sim,2 pessoas,Sim,Sim,19-30 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,
116,2023-10-01 23:33:44,2023-10-01 23:42:14,anonymous,,,R39,4.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,Biodiversidade;Recursos Naturais ;,Sim,,Não,3 ou mais pessoas,Sim,Não,Mais de 60 anos,Masculino,Branco,Não,,Sim,Outro Estado do Brasil,
117,2023-10-01 23:15:33,2023-10-01 23:42:14,anonymous,,,D01-P063,6.0,8.0,7.0,6.0,8.0,7.0,7,4,1,3,8,8,8,8,2,7,7,6,7,1,1,1,1,1,1,6,5,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;,Não,1,Sim,3 ou mais pessoas,Sim,Sim,19-30 anos,Masculino,Preto,Não,,Não,Outro Estado do Brasil,
118,2023-10-01 23:17:45,2023-10-02 00:00:33,anonymous,,,D05-P050,5.0,5.0,8.0,3.0,3.0,8.0,5,6,3,4,6,6,4,5,8,1,4,2,4,1,1,1,1,1,1,1,7,7,Diversidade Cultural ;Biodiversidade;Recursos Naturais ;,Sim,,Não,3 ou mais pessoas,Talvez,Sim,19-30 anos,Feminino,Branco,Não,,Não,Outro Estado do Brasil,
119,2023-10-01 23:42:19,2023-10-02 00:01:30,anonymous,,,R40,5.0,4.0,4.0,5.0,7.0,5.0,5,2,3,4,3,2,7,5,2,4,3,5,4,2,2,3,1,1,1,5,6,5,Biodiversidade;Recursos Naturais ;,Não,2,Sim,2 pessoas,Talvez,Sim,31-59 anos,Masculino,Branco,Não,,Não,Cidade do Rio,
120,2023-10-01 23:44:36,2023-10-02 00:08:06,anonymous,,,D01-P064,8.0,8.0,8.0,8.0,8.0,8.0,8,3,3,4,8,8,8,8,8,4,7,4,7,7,1,4,4,4,4,7,7,7,Biodiversidade;Diversidade Cultural ;,Sim,,Sim,1 pessoa,Sim,Sim,19-30 anos,Masculino,Branco,Não,,Sim,Outro Estado do Brasil,
121,2023-10-02 00:01:35,2023-10-02 00:08:15,anonymous,,,R41,8.0,8.0,8.0,8.0,8.0,8.0,8,8,8,8,8,8,8,8,8,5,7,2,7,1,1,1,4,7,7,7,4,7,Diversidade Cultural ;Recursos Naturais ;Biodiversidade;Sustentabilidade;,Sim,,Sim,1 pessoa,Sim,Sim,19-30 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,
122,2023-10-01 23:26:35,2023-10-02 00:09:09,anonymous,,,D02-P058,5.0,7.0,8.0,7.0,6.0,6.0,8,4,5,3,8,8,6,8,6,3,1,1,5,1,1,1,1,1,1,6,5,7,Biodiversidade;Diversidade Cultural ;Sustentabilidade;,Sim,,Sim,1 pessoa,Sim,Sim,19-30 anos,Masculino,Branco,Não,,Não,Outro Estado do Brasil,
