Start time,ID,Matter Emotions,Life Emotions,Thought Emotions,Matter Learning,Life Learning,Thought Learning,Admiration,Confusion,Haunt,Disorientation,Amazement,Fascination,Amazing,Curiosity,Perplexity,"I felt a closer sense of identity, of who I am.",I felt a psychological connection to everyone/everything around me.,I felt a physical connection to everyone/everything around me.,Everything seemed to be connected.,I experienced a feeling of confinement.,I experienced a feeling of oppression.,I experienced a feeling of tension.,My heart was racing.,It took my breath away.,I felt chills.,I felt physically smaller.,"I felt trivial, in the grand scheme of things.",The world seemed vast.,What did you learn about during your visit?,Is this your first time visiting the Museum of Tomorrow?,"If not, how many times have you visited us previously?","Did you watch the movie Cosmos, projected onto the sphere?",How many people accompanied you on this visit?,Would you like to visit the museum again in the future?,Would you recommend the museum to your friends and family?,Age group,Gender,Race,Do you have any disabilities?,What disability do you have?,Do you have children? ,Where do you live?,Would you like to share something more about your visit or your experience today?,Cubes Emotion Mean,Cubes Learning Mean,Group
2023-09-29 16:25:27,S2_p01,7.0,7.0,7.0,7.0,7.0,7.0,8,2,8,3,8,8,7,7,8,6,6,6,6,2,2,2,2,2,2,5,3,7,Diversidade Cultural ;,Sim,,Não,1 pessoa,Sim,Sim,31-59 anos,Masculino,Branco,Não,,Não,Outro Estado do Brasil,,7.0,7.0,Control
2023-09-29 16:45:24,S2_po2,8.0,8.0,8.0,7.0,7.0,8.0,8,6,5,5,8,5,6,8,7,6,5,7,7,5,2,3,5,1,4,1,5,7,Biodiversidade;Diversidade Cultural ;Sustentabilidade;Recursos Naturais ;,Sim,,Não,3 ou mais pessoas,Sim,Sim,31-59 anos,Masculino,Preto,Não,,Sim,Outro Estado do Brasil,,8.0,7.0,Control
2023-09-29 16:49:38,S2_p03,4.0,4.0,6.0,4.0,5.0,5.0,7,4,5,4,7,7,6,6,6,4,4,3,5,3,3,3,2,2,2,2,2,3,Recursos Naturais ;Sustentabilidade;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Sim,Outro Estado do Brasil,,4.0,4.0,Control
2023-09-29 16:56:24,S4,8.0,8.0,8.0,8.0,8.0,8.0,8,4,8,4,6,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,Diversidade Cultural ;,Não,2,Sim,2 pessoas,Sim,Sim,31-59 anos,Masculino,Branco,Não,,Sim,Outro Estado do Brasil,,8.0,8.0,Control
2023-09-29 17:01:03,S5,7.0,7.0,7.0,7.0,7.0,6.0,6,7,6,6,7,6,7,7,7,7,6,6,7,7,6,6,7,6,6,6,6,6,Sustentabilidade;,Sim,,Sim,Nenhuma,Sim,Sim,31-59 anos,Masculino,Pardo,Não,,Sim,Outro Estado do Brasil,Sim,7.0,7.0,Control
2023-09-29 17:08:14,S5,4.0,6.0,5.0,6.0,6.0,6.0,4,2,2,2,2,4,3,5,3,2,2,2,2,2,2,2,2,2,2,4,7,7,Diversidade Cultural ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,31-59 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,,4.0,6.0,Control
2023-09-29 17:11:43,S6,7.0,6.0,6.0,6.0,6.0,6.0,6,2,3,1,6,6,3,5,5,5,5,5,5,2,2,2,2,2,2,5,5,6,Diversidade Cultural ;,Sim,,Sim,Nenhuma,Sim,Sim,31-59 anos,Masculino,Branco,Não,,Não,Outro Estado do Brasil,,7.0,6.0,Control
2023-09-29 18:31:48,S7,5.0,4.0,4.0,5.0,4.0,5.0,7,7,3,5,6,4,4,7,3,3,3,3,4,3,3,1,1,1,1,1,1,1,Diversidade Cultural ;Recursos Naturais ;,Sim,,Não,3 ou mais pessoas,Sim,Sim,31-59 anos,Masculino,Pardo,Não,,Sim,Outro Estado do Brasil,,5.0,5.0,Control
2023-09-29 18:42:32,S8,8.0,7.0,6.0,8.0,5.0,8.0,8,8,1,1,8,7,1,8,3,2,2,2,4,1,1,1,1,1,1,1,1,7,Diversidade Cultural ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,31-59 anos,Masculino,Pardo,Sim,Visual,Sim,Outro Estado do Brasil,,8.0,8.0,Control
2023-09-29 18:47:10,S9,8.0,8.0,8.0,8.0,8.0,8.0,8,4,1,1,8,8,4,8,8,7,7,7,7,1,1,4,3,2,6,7,7,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,2 pessoas,Sim,Sim,31-59 anos,Masculino,Pardo,Não,,Sim,Outro Estado do Brasil,,8.0,8.0,Control
